Area(SQM),Bedroom,Bathroom,Location,Price,Negotiable,Balcony,Electricity,Water,Gas,Landline,Elevator,Security,Built_in_Kitchen,Maids_Room,Private_Garden,Parking,Central(A/C)& heating,Pool,Type,Level,Furnished,Compound,Delivery_Date,Delivery_Term,meter_price
125,3,2,Smoha,2500000,0,1,1,1,1,1,1,1,0,0,1,1,0,1,Apartment,3,0.0,Not_In_Compound,soon,Finished,20000.0
177,3,2,Moharam Bik,3450000,0,1,1,1,1,1,1,1,0,0,1,1,0,1,Apartment,7,0.0,Not_In_Compound,soon,Finished,19491.525423728814
110,3,2,Moharam Bik,3000000,0,1,1,1,1,1,1,1,0,0,1,1,0,1,Apartment,2,0.0,Not_In_Compound,soon,Finished,27272.727272727272
120,3,1,Nakheel,370000,1,1,1,1,0,0,0,1,0,1,0,0,0,0,Apartment,9,0.0,Not_In_Compound,Ready,Finished,3083.3333333333335
116,3,2,Al Hadrah,1300000,1,1,1,1,1,1,1,1,0,0,0,0,0,0,Apartment,3,1.0,Not_In_Compound,Ready,Finished,11206.896551724138
150,2,1,Nakheel,290000,1,1,1,1,0,1,0,1,0,1,1,0,0,0,Apartment,3,0.0,Not_In_Compound,Ready,Finished,1933.3333333333333
220,3,3,Stanley,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,3,0.0,Not_In_Compound,Ready,Finished,13636.363636363636
160,3,2,Cleopatra,3000000,0,1,1,1,1,1,1,1,1,0,0,1,1,0,Apartment,10+,1.0,Not_In_Compound,Ready,Finished,18750.0
175,3,2,Smoha,2200000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,2,0.0,Not_In_Compound,Ready,Finished,12571.42857142857
160,3,2,Miami,1250000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,3,1.0,Not_In_Compound,Ready,Finished,7812.5
115,2,1,Shatby,2070000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,4,0.0,Not_In_Compound,Ready,Finished,18000.0
110,3,1,Gianaclis,1100000,0,0,1,1,0,0,0,1,1,0,0,1,0,0,Apartment,2,0.0,Not_In_Compound,Ready,Finished,10000.0
165,3,2,Asafra,1250000,1,1,1,1,1,0,1,0,1,0,0,0,0,0,Apartment,10,1.0,Not_In_Compound,Ready,Finished,7575.757575757576
250,5,2,Nakheel,630000,1,1,1,1,0,1,1,1,0,1,1,0,0,0,Duplex,10,0.0,Not_In_Compound,Ready,Finished,2520.0
200,2,2,Nakheel,280000,1,1,1,1,0,0,1,1,0,1,0,0,0,0,Duplex,5,0.0,Not_In_Compound,Ready,Finished,1400.0
100,2,1,Nakheel,280000,1,1,1,1,0,0,1,1,0,1,0,0,0,0,Apartment,5,0.0,Not_In_Compound,Ready,Finished,2800.0
190,3,2,Smoha,2650000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,8,0.0,Not_In_Compound,Ready,Finished,13947.368421052632
175,3,2,Glim,1750000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,10+,0.0,Not_In_Compound,Ready,Finished,10000.0
120,3,1,Seyouf,780000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,1,0.0,Not_In_Compound,Ready,Finished,6500.0
120,2,1,Seyouf,750000,0,0,1,1,1,1,0,0,1,0,0,1,0,0,Apartment,5,1.0,Not_In_Compound,Ready,Finished,6250.0
90,2,1,Abu Talat,495000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,5,0.0,Not_In_Compound,2024,Semi Finished,5500.0
155,5,1,Bacchus,900000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Apartment,2,1.0,Not_In_Compound,Ready,Finished,5806.451612903225
100,2,1,Nakheel,255000,1,1,0,1,0,0,1,1,0,1,0,0,0,1,Apartment,1,0.0,Not_In_Compound,Ready,Finished,2550.0
83,2,1,Azarita,1400000,1,1,1,1,1,1,1,1,0,0,0,0,0,0,Apartment,4,0.0,Not_In_Compound,Ready,Finished,16867.469879518074
130,2,1,Nakheel,410000,1,1,0,1,0,1,0,1,0,0,0,0,0,0,Apartment,2,0.0,Nakheel,Ready,Finished,3153.846153846154
120,2,1,Nakheel,430000,1,1,1,1,0,0,1,1,0,0,0,0,0,0,Apartment,4,0.0,Nakheel,Ready,Finished,3583.3333333333335
123,2,1,Smoha,1350000,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Apartment,9,0.0,Not_In_Compound,Ready,Finished,10975.609756097561
120,2,2,Nakheel,360000,1,1,1,1,1,1,0,1,0,0,0,0,0,1,Apartment,1,0.0,Not_In_Compound,Ready,Finished,3000.0
120,2,1,Nakheel,280000,1,1,1,1,1,1,1,0,1,0,0,0,0,1,Apartment,2,0.0,Not_In_Compound,Ready,Finished,2333.3333333333335
